Header,Date,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Year
Snowfall,2021 / 2022,0.0,0.0,0.0,0.0,3.9,7.6,14.9,16.8,14.6,8.7,0.0*,---,66.5*
Snowfall,2020 / 2021,0.0,0.0,0.0,0.0,3.5,17.8,18.6,31.7,1.4,1.6,0.0,0.0,74.6
Snowfall,2019 / 2020,0.0,0.0,0.0,0.0,4.1,18.7,10.5,27.7,7.7,3.2,1.7,0.0,73.6
Snowfall,2018 / 2019,0.0,0.0,0.0,0.0,21.3,7.5,23.5,24.9,6.9,5.7,0.0,0.0,89.8
Snowfall,2017 / 2018,0.0,0.0,0.0,0.0,3.7,26.3,21.2,21.1,35.9,1.5,0.0,0.0,109.7
Snowfall,2016 / 2017,0.0,0.0,0.0,0.0,14.5,38.4,8.5,22.5,26.2,0.3,0.0,0.0,110.4
Snowfall,2015 / 2016,0.0,0.0,0.0,0.0,0.1,1.9,20.5,11.8,0.9,3.1,0.0,0.0,38.3
Snowfall,2014 / 2015,0.0,0.0,0.0,0.0,15.8,9,13.6,44.5,9.3,0.3,0.0,0.0,92.5
Snowfall,2013 / 2014,0.0,0.0,0.0,0.0,8.9,22.5,18.6,31.0,11.8,1,0.0,0.0,93.8
Snowfall,2012 / 2013,0.0,0.0,0.0,0.0,7.9,23.3,12.4,20.9,12.8,3.4,0.0,0.0,80.7
Snowfall,2011 / 2012,0.0,0.0,0.0*,0.0*,4.3*,4.1,19.3,9.5,8.5,0,0.0,0.0,45.7*
Snowfall,2010 / 2011,0.0,0.0,0.0,0.0,0.4,22.6,41.6,29.6,18.1,0.1,0.0,0.0,112.5
Snowfall,2009 / 2010,0.0,0.0*,0.0*,0.0,0.0,12.9,21.1,38.4,0.0,0,0.0,0.0,72.4*
Snowfall,2008 / 2009,0.0,0.0,0.0,2.5,6.0,35.9,33.6,16.8,0.0,0.8,0.0,0.0,95.6
Snowfall,2007 / 2008,0.0,0.0*,0.0*,0.0*,1.3,34.9,13.8,32.0,13.0,0,0.0,0.0,95.0*
Snowfall,2006 / 2007,---,0.0*,0.0*,0.0*,2.5*,6.3,27.8*,73.0*,16.9*,0,0.0,0.0,126.5*
Snowfall,Max,0.0,0.0,0.0,2.5,21.3,38.4,41.6,73.0,35.9,8.7,1.7,0.0,126.5
Snowfall,Avg,0.0,0.0,0.0,0.2,6.1,18.1,20.0,28.3,11.5,1.9,0.1,0.0,86.1
Snowfall,Min,0.0,0.0,0.0,0.0,0.0,1.9,8.5,9.5,0.0,0,0.0,0.0,38.3
